oaaclassifier
oaaclassifier: loading data...
oaaclassifier: processing labels...
    converting training labels...
oaaclassifier: training perceptrons (9)...
    percep. 2, itr 7000, error 213.4251674, diff 0.003288
    percep. 2, itr 7100, error 213.0991636, diff 0.003233
    percep. 2, itr 7200, error 212.7785818, diff 0.003179
    percep. 2, itr 7300, error 212.4632666, diff 0.003128
    percep. 2, itr 7400, error 212.1530691, diff 0.003077
    percep. 2, itr 7500, error 211.8478467, diff 0.003028
    percep. 2, itr 7600, error 211.5474623, diff 0.002980
    percep. 2, itr 7700, error 211.2517845, diff 0.002934
    percep. 2, itr 7800, error 210.9606869, diff 0.002889
    percep. 2, itr 7900, error 210.6740482, diff 0.002845
    percep. 2, itr 8000, error 210.3917515, diff 0.002802
    percep. 2, itr 8100, error 210.1136844, diff 0.002760
    percep. 2, itr 8200, error 209.8397388, diff 0.002719
    percep. 2, itr 8300, error 209.5698105, diff 0.002680
    percep. 2, itr 8400, error 209.3037991, diff 0.002641
    percep. 2, itr 8500, error 209.0416077, diff 0.002603
    percep. 2, itr 8600, error 208.7831430, diff 0.002566
    percep. 2, itr 8700, error 208.5283148, diff 0.002531
    percep. 2, itr 8800, error 208.2770363, diff 0.002495
    percep. 2, itr 8900, error 208.0292232, diff 0.002461
    percep. 2, itr 9000, error 207.7847946, diff 0.002428
    percep. 2, itr 9100, error 207.5436718, diff 0.002395
    percep. 2, itr 9200, error 207.3057790, diff 0.002363
    percep. 2, itr 9300, error 207.0710429, diff 0.002332
    percep. 2, itr 9400, error 206.8393925, diff 0.002301
    percep. 2, itr 9500, error 206.6107588, diff 0.002272
    percep. 2, itr 9600, error 206.3850755, diff 0.002242
    percep. 2, itr 9700, error 206.1622780, diff 0.002214
    percep. 2, itr 9800, error 205.9423038, diff 0.002186
    percep. 2, itr 9900, error 205.7250924, diff 0.002159
    percep. 2, itr 10000, error 205.5105849, diff 0.002132
    percep. 2, itr 10100, error 205.2987246, diff 0.002106
    percep. 2, itr 10200, error 205.0894560, diff 0.002080
    percep. 2, itr 10300, error 204.8827256, diff 0.002055
    percep. 2, itr 10400, error 204.6784813, diff 0.002030
    percep. 2, itr 10500, error 204.4766726, diff 0.002006
